--------------------------------------------------------------------------------------------------------------
Example ids:  245 project:  FFmpeg commit id:  7bf3f380466eeff24916fd6218aca13e414c6240 Number of lines:  124 tground truth:  1
Original lines: 
Predicted Correctly by :  ['PLBART', 'devign', 'regvd', 'vulberta_cnn', 'vulberta_mlp']
0 static int cbs_h265_read_nal_unit(CodedBitstreamContext *ctx,                                  {'PLBART': 0, 'devign': 21, 'regvd': 14, 'vulberta_cnn': 29, 'vulberta_mlp': 9}
4                                       void **refcount_table,                                   {'codebert': 0, 'PLBART': 9, 'devign': 55, 'regvd': 90, 'vulberta_cnn': 68, 'vulberta_mlp': 8}
6                                       int64_t *nb_clusters)                                    {'codebert': 6, 'PLBART': 6, 'devign': 49, 'regvd': 93, 'vulberta_cnn': 48, 'vulberta_mlp': 115}
8 {                                                                                              {'codebert': 12, 'PLBART': 11, 'devign': -1, 'regvd': 137, 'vulberta_cnn': 69, 'vulberta_mlp': 114}
10     BDRVQcow2State *s = bs->opaque;                                                           {'codebert': 2, 'PLBART': 1, 'devign': 30, 'regvd': 102, 'vulberta_cnn': 115, 'vulberta_mlp': 113}
12     int64_t first_free_cluster = 0, reftable_offset = -1, cluster = 0;                        {'codebert': 11, 'PLBART': 0, 'devign': 27, 'regvd': 3, 'vulberta_cnn': 110, 'vulberta_mlp': 56}
14     int64_t refblock_offset, refblock_start, refblock_index;                                  {'codebert': 17, 'PLBART': 4, 'devign': 78, 'regvd': 46, 'vulberta_cnn': 2, 'vulberta_mlp': 112}
16     uint32_t reftable_size = 0;                                                               {'codebert': 14, 'PLBART': 5, 'devign': 39, 'regvd': 58, 'vulberta_cnn': 94, 'vulberta_mlp': 35}
18     uint64_t *on_disk_reftable = NULL;                                                        {'codebert': 10, 'PLBART': 3, 'devign': 45, 'regvd': 45, 'vulberta_cnn': 1, 'vulberta_mlp': 9}
20     void *on_disk_refblock;                                                                   {'codebert': 8, 'PLBART': 7, 'devign': 77, 'regvd': 87, 'vulberta_cnn': 12, 'vulberta_mlp': 111}
22     int ret = 0;                                                                              {'codebert': 9, 'PLBART': 10, 'devign': 76, 'regvd': 118, 'vulberta_cnn': 4, 'vulberta_mlp': 110}
24     struct {                                                                                  {'codebert': 13, 'PLBART': -1, 'devign': -1, 'regvd': 125, 'vulberta_cnn': 79, 'vulberta_mlp': 109}
26         uint64_t reftable_offset;                                                             {'codebert': 15, 'PLBART': -1, 'devign': -1, 'regvd': 79, 'vulberta_cnn': 80, 'vulberta_mlp': 108}
28         uint32_t reftable_clusters;                                                           {'codebert': 16, 'PLBART': -1, 'devign': -1, 'regvd': 33, 'vulberta_cnn': 18, 'vulberta_mlp': 107}
30     } QEMU_PACKED reftable_offset_and_clusters;                                               {'codebert': 3, 'PLBART': -1, 'devign': 74, 'regvd': 18, 'vulberta_cnn': 15, 'vulberta_mlp': 106}
34     qcow2_cache_empty(bs, s->refcount_block_cache);                                           {'codebert': 1, 'PLBART': -1, 'devign': 67, 'regvd': 15, 'vulberta_cnn': 101, 'vulberta_mlp': 30}
38 write_refblocks:                                                                              {'codebert': 7, 'PLBART': -1, 'devign': 61, 'regvd': 103, 'vulberta_cnn': 51, 'vulberta_mlp': 105}
40     for (; cluster < *nb_clusters; cluster++) {                                               {'codebert': -1, 'PLBART': -1, 'devign': 25, 'regvd': 57, 'vulberta_cnn': 99, 'vulberta_mlp': 14}
42         if (!s->get_refcount(*refcount_table, cluster)) {                                     {'codebert': -1, 'PLBART': -1, 'devign': 33, 'regvd': 7, 'vulberta_cnn': 43, 'vulberta_mlp': 17}
44             continue;                                                                         {'codebert': -1, 'PLBART': -1, 'devign': 81, 'regvd': 126, 'vulberta_cnn': 30, 'vulberta_mlp': 104}
46         }                                                                                     {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 157, 'vulberta_cnn': 19, 'vulberta_mlp': 103}
50         refblock_index = cluster >> s->refcount_block_bits;                                   {'codebert': -1, 'PLBART': -1, 'devign': 47, 'regvd': 19, 'vulberta_cnn': 9, 'vulberta_mlp': 0}
52         refblock_start = refblock_index << s->refcount_block_bits;                            {'codebert': -1, 'PLBART': -1, 'devign': 53, 'regvd': 44, 'vulberta_cnn': 52, 'vulberta_mlp': 50}
56         /* Don't allocate a cluster in a refblock already written to disk */                  {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 78, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
58         if (first_free_cluster < refblock_start) {                                            {'codebert': -1, 'PLBART': -1, 'devign': 48, 'regvd': 22, 'vulberta_cnn': 108, 'vulberta_mlp': 45}
60             first_free_cluster = refblock_start;                                              {'codebert': -1, 'PLBART': -1, 'devign': 72, 'regvd': 48, 'vulberta_cnn': 93, 'vulberta_mlp': 102}
62         }                                                                                     {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 156, 'vulberta_cnn': 31, 'vulberta_mlp': 101}
64         refblock_offset = alloc_clusters_imrt(bs, 1, refcount_table,                          {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 2, 'vulberta_cnn': 83, 'vulberta_mlp': 54}
66                                               nb_clusters, &first_free_cluster);              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 63, 'vulberta_cnn': 91, 'vulberta_mlp': 26}
68         if (refblock_offset < 0) {                                                            {'codebert': -1, 'PLBART': -1, 'devign': 38, 'regvd': 72, 'vulberta_cnn': 6, 'vulberta_mlp': 25}
70             fprintf(stderr, "ERROR allocating refblock: %s\n",                                {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 82, 'vulberta_cnn': 0, 'vulberta_mlp': 7}
72                     strerror(-refblock_offset));                                              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 59, 'vulberta_cnn': 109, 'vulberta_mlp': 44}
74             res->check_errors++;                                                              {'codebert': -1, 'PLBART': -1, 'devign': 24, 'regvd': 110, 'vulberta_cnn': 47, 'vulberta_mlp': 100}
76             ret = refblock_offset;                                                            {'codebert': -1, 'PLBART': -1, 'devign': 66, 'regvd': 89, 'vulberta_cnn': 17, 'vulberta_mlp': 99}
78             goto fail;                                                                        {'codebert': -1, 'PLBART': -1, 'devign': 19, 'regvd': 135, 'vulberta_cnn': 10, 'vulberta_mlp': 13}
80         }                                                                                     {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 155, 'vulberta_cnn': 32, 'vulberta_mlp': 98}
84         if (reftable_size <= refblock_index) {                                                {'codebert': -1, 'PLBART': -1, 'devign': 20, 'regvd': 27, 'vulberta_cnn': 5, 'vulberta_mlp': 29}
86             uint32_t old_reftable_size = reftable_size;                                       {'codebert': -1, 'PLBART': -1, 'devign': 69, 'regvd': 70, 'vulberta_cnn': 53, 'vulberta_mlp': 20}
88             uint64_t *new_on_disk_reftable;                                                   {'codebert': -1, 'PLBART': -1, 'devign': 79, 'regvd': 61, 'vulberta_cnn': 67, 'vulberta_mlp': 41}
92             reftable_size = ROUND_UP((refblock_index + 1) * sizeof(uint64_t),                 {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 8, 'vulberta_cnn': 16, 'vulberta_mlp': 16}
94                                      s->cluster_size) / sizeof(uint64_t);                     {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 75, 'vulberta_cnn': 22, 'vulberta_mlp': 21}
96             new_on_disk_reftable = g_try_realloc(on_disk_reftable,                            {'codebert': -1, 'PLBART': -1, 'devign': 44, 'regvd': 62, 'vulberta_cnn': 70, 'vulberta_mlp': 39}
98                                                  reftable_size *                              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 98, 'vulberta_cnn': 35, 'vulberta_mlp': 24}
100                                                  sizeof(uint64_t));                          {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 101, 'vulberta_cnn': 45, 'vulberta_mlp': 23}
102             if (!new_on_disk_reftable) {                                                     {'codebert': -1, 'PLBART': -1, 'devign': 32, 'regvd': 76, 'vulberta_cnn': 77, 'vulberta_mlp': 97}
104                 res->check_errors++;                                                         {'codebert': -1, 'PLBART': -1, 'devign': 23, 'regvd': 109, 'vulberta_cnn': 100, 'vulberta_mlp': 96}
106                 ret = -ENOMEM;                                                               {'codebert': -1, 'PLBART': -1, 'devign': 75, 'regvd': 121, 'vulberta_cnn': 39, 'vulberta_mlp': 95}
108                 goto fail;                                                                   {'codebert': -1, 'PLBART': -1, 'devign': 18, 'regvd': 134, 'vulberta_cnn': 95, 'vulberta_mlp': 94}
110             }                                                                                {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 154, 'vulberta_cnn': 61, 'vulberta_mlp': 93}
112             on_disk_reftable = new_on_disk_reftable;                                         {'codebert': -1, 'PLBART': -1, 'devign': 43, 'regvd': 84, 'vulberta_cnn': 21, 'vulberta_mlp': 92}
116             memset(on_disk_reftable + old_reftable_size, 0,                                  {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 73, 'vulberta_cnn': 8, 'vulberta_mlp': 49}
118                    (reftable_size - old_reftable_size) * sizeof(uint64_t));                  {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 31, 'vulberta_cnn': 88, 'vulberta_mlp': 6}
122             /* The offset we have for the reftable is now no longer valid;                   {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 94, 'vulberta_cnn': 86, 'vulberta_mlp': 91}
124              * this will leak that range, but we can easily fix that by running              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 119, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
126              * a leak-fixing check after this rebuild operation */                           {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 112, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
128             reftable_offset = -1;                                                            {'codebert': -1, 'PLBART': -1, 'devign': 52, 'regvd': 83, 'vulberta_cnn': 42, 'vulberta_mlp': 34}
130         }                                                                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 153, 'vulberta_cnn': 63, 'vulberta_mlp': 5}
132         on_disk_reftable[refblock_index] = refblock_offset;                                  {'codebert': -1, 'PLBART': -1, 'devign': 50, 'regvd': 51, 'vulberta_cnn': 87, 'vulberta_mlp': 37}
136         /* If this is apparently the last refblock (for now), try to squeeze the             {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 88, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
138          * reftable in */                                                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 106, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
140         if (refblock_index == (*nb_clusters - 1) >> s->refcount_block_bits &&                {'codebert': -1, 'PLBART': -1, 'devign': 46, 'regvd': 4, 'vulberta_cnn': 7, 'vulberta_mlp': 57}
142             reftable_offset < 0)                                                             {'codebert': -1, 'PLBART': -1, 'devign': 10, 'regvd': 92, 'vulberta_cnn': 90, 'vulberta_mlp': 90}
144         {                                                                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 136, 'vulberta_cnn': 58, 'vulberta_mlp': 4}
146             uint64_t reftable_clusters = size_to_clusters(s, reftable_size *                 {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 5, 'vulberta_cnn': 66, 'vulberta_mlp': 1}
148                                                           sizeof(uint64_t));                 {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 100, 'vulberta_cnn': 54, 'vulberta_mlp': 89}
150             reftable_offset = alloc_clusters_imrt(bs, reftable_clusters,                     {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 11, 'vulberta_cnn': 64, 'vulberta_mlp': 53}
152                                                   refcount_table, nb_clusters,               {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 54, 'vulberta_cnn': 102, 'vulberta_mlp': 19}
154                                                   &first_free_cluster);                      {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 96, 'vulberta_cnn': 92, 'vulberta_mlp': 33}
156             if (reftable_offset < 0) {                                                       {'codebert': -1, 'PLBART': -1, 'devign': 9, 'regvd': 68, 'vulberta_cnn': 24, 'vulberta_mlp': 43}
158                 fprintf(stderr, "ERROR allocating reftable: %s\n",                           {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 81, 'vulberta_cnn': 106, 'vulberta_mlp': 48}
160                         strerror(-reftable_offset));                                         {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 56, 'vulberta_cnn': 73, 'vulberta_mlp': 88}
162                 res->check_errors++;                                                         {'codebert': -1, 'PLBART': -1, 'devign': 22, 'regvd': 108, 'vulberta_cnn': 46, 'vulberta_mlp': 87}
164                 ret = reftable_offset;                                                       {'codebert': -1, 'PLBART': -1, 'devign': 37, 'regvd': 86, 'vulberta_cnn': 97, 'vulberta_mlp': 86}
166                 goto fail;                                                                   {'codebert': -1, 'PLBART': -1, 'devign': 17, 'regvd': 133, 'vulberta_cnn': 71, 'vulberta_mlp': 22}
168             }                                                                                {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 152, 'vulberta_cnn': 78, 'vulberta_mlp': 85}
170         }                                                                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 151, 'vulberta_cnn': 57, 'vulberta_mlp': 84}
174         ret = qcow2_pre_write_overlap_check(bs, 0, refblock_offset,                          {'codebert': -1, 'PLBART': -1, 'devign': 65, 'regvd': 39, 'vulberta_cnn': 36, 'vulberta_mlp': 55}
176                                             s->cluster_size);                                {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 99, 'vulberta_cnn': 3, 'vulberta_mlp': 32}
178         if (ret < 0) {                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 4, 'regvd': 117, 'vulberta_cnn': 55, 'vulberta_mlp': 36}
180             fprintf(stderr, "ERROR writing refblock: %s\n", strerror(-ret));                 {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 41, 'vulberta_cnn': 76, 'vulberta_mlp': 83}
182             goto fail;                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 16, 'regvd': 132, 'vulberta_cnn': 34, 'vulberta_mlp': 82}
184         }                                                                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 150, 'vulberta_cnn': 44, 'vulberta_mlp': 81}
188         /* The size of *refcount_table is always cluster-aligned, therefore the              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 50, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
190          * write operation will not overflow */                                              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 123, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
192         on_disk_refblock = (void *)((char *) *refcount_table +                               {'codebert': -1, 'PLBART': -1, 'devign': 54, 'regvd': 43, 'vulberta_cnn': 89, 'vulberta_mlp': 12}
194                                     refblock_index * s->cluster_size);                       {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 24, 'vulberta_cnn': 59, 'vulberta_mlp': 80}
198         ret = bdrv_write(bs->file, refblock_offset / BDRV_SECTOR_SIZE,                       {'codebert': -1, 'PLBART': -1, 'devign': 64, 'regvd': 32, 'vulberta_cnn': 62, 'vulberta_mlp': 79}
200                          on_disk_refblock, s->cluster_sectors);                              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 16, 'vulberta_cnn': 26, 'vulberta_mlp': 78}
202         if (ret < 0) {                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 3, 'regvd': 116, 'vulberta_cnn': 104, 'vulberta_mlp': 77}
204             fprintf(stderr, "ERROR writing refblock: %s\n", strerror(-ret));                 {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 40, 'vulberta_cnn': 114, 'vulberta_mlp': 76}
206             goto fail;                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 15, 'regvd': 131, 'vulberta_cnn': 11, 'vulberta_mlp': 75}
208         }                                                                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 149, 'vulberta_cnn': 37, 'vulberta_mlp': 74}
212         /* Go to the end of this refblock */                                                 {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 105, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
214         cluster = refblock_start + s->refcount_block_size - 1;                               {'codebert': -1, 'PLBART': -1, 'devign': 68, 'regvd': 17, 'vulberta_cnn': 75, 'vulberta_mlp': 11}
216     }                                                                                        {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 148, 'vulberta_cnn': 50, 'vulberta_mlp': 73}
220     if (reftable_offset < 0) {                                                               {'codebert': -1, 'PLBART': -1, 'devign': 8, 'regvd': 67, 'vulberta_cnn': 38, 'vulberta_mlp': 72}
222         uint64_t post_refblock_start, reftable_clusters;                                     {'codebert': -1, 'PLBART': -1, 'devign': 80, 'regvd': 6, 'vulberta_cnn': 49, 'vulberta_mlp': 71}
226         post_refblock_start = ROUND_UP(*nb_clusters, s->refcount_block_size);                {'codebert': -1, 'PLBART': -1, 'devign': 58, 'regvd': 0, 'vulberta_cnn': 72, 'vulberta_mlp': 27}
228         reftable_clusters = size_to_clusters(s,                                              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 23, 'vulberta_cnn': 81, 'vulberta_mlp': 70}
230                                              reftable_size * sizeof(uint64_t));              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 38, 'vulberta_cnn': 85, 'vulberta_mlp': 3}
232         /* Not pretty but simple */                                                          {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 120, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
234         if (first_free_cluster < post_refblock_start) {                                      {'codebert': -1, 'PLBART': -1, 'devign': 29, 'regvd': 21, 'vulberta_cnn': 25, 'vulberta_mlp': 47}
236             first_free_cluster = post_refblock_start;                                        {'codebert': -1, 'PLBART': -1, 'devign': 42, 'regvd': 47, 'vulberta_cnn': 40, 'vulberta_mlp': 42}
238         }                                                                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 147, 'vulberta_cnn': 28, 'vulberta_mlp': 69}
240         reftable_offset = alloc_clusters_imrt(bs, reftable_clusters,                         {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 10, 'vulberta_cnn': 112, 'vulberta_mlp': 52}
242                                               refcount_table, nb_clusters,                   {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 53, 'vulberta_cnn': 27, 'vulberta_mlp': 2}
244                                               &first_free_cluster);                          {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 95, 'vulberta_cnn': 41, 'vulberta_mlp': 31}
246         if (reftable_offset < 0) {                                                           {'codebert': -1, 'PLBART': -1, 'devign': 7, 'regvd': 66, 'vulberta_cnn': 105, 'vulberta_mlp': 68}
248             fprintf(stderr, "ERROR allocating reftable: %s\n",                               {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 80, 'vulberta_cnn': 113, 'vulberta_mlp': 46}
250                     strerror(-reftable_offset));                                             {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 55, 'vulberta_cnn': 96, 'vulberta_mlp': 67}
252             res->check_errors++;                                                             {'codebert': -1, 'PLBART': -1, 'devign': 21, 'regvd': 107, 'vulberta_cnn': 84, 'vulberta_mlp': 66}
254             ret = reftable_offset;                                                           {'codebert': -1, 'PLBART': -1, 'devign': 36, 'regvd': 85, 'vulberta_cnn': 65, 'vulberta_mlp': 65}
256             goto fail;                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 14, 'regvd': 130, 'vulberta_cnn': 103, 'vulberta_mlp': 64}
258         }                                                                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 146, 'vulberta_cnn': 33, 'vulberta_mlp': 63}
262         goto write_refblocks;                                                                {'codebert': -1, 'PLBART': -1, 'devign': 82, 'regvd': 97, 'vulberta_cnn': 29, 'vulberta_mlp': 62}
264     }                                                                                        {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 145, 'vulberta_cnn': 82, 'vulberta_mlp': 61}
268     assert(on_disk_reftable);                                                                {'codebert': -1, 'PLBART': -1, 'devign': 73, 'regvd': 71, 'vulberta_cnn': 23, 'vulberta_mlp': 40}
272     for (refblock_index = 0; refblock_index < reftable_size; refblock_index++) {             {'codebert': -1, 'PLBART': -1, 'devign': 6, 'regvd': 13, 'vulberta_cnn': 74, 'vulberta_mlp': 18}
274         cpu_to_be64s(&on_disk_reftable[refblock_index]);                                     {'codebert': -1, 'PLBART': -1, 'devign': 63, 'regvd': 26, 'vulberta_cnn': 107, 'vulberta_mlp': 28}
276     }                                                                                        {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 144, 'vulberta_cnn': 60, 'vulberta_mlp': 60}
280     ret = qcow2_pre_write_overlap_check(bs, 0, reftable_offset,                              {'codebert': -1, 'PLBART': -1, 'devign': 35, 'regvd': 34, 'vulberta_cnn': 20, 'vulberta_mlp': 59}
282                                         reftable_size * sizeof(uint64_t));                   {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 37, 'vulberta_cnn': 98, 'vulberta_mlp': 15}
284     if (ret < 0) {                                                                           {'codebert': -1, 'PLBART': -1, 'devign': 2, 'regvd': 115, 'vulberta_cnn': 14, 'vulberta_mlp': 58}
286         fprintf(stderr, "ERROR writing reftable: %s\n", strerror(-ret));                     {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 30, 'vulberta_cnn': 111, 'vulberta_mlp': 51}
288         goto fail;                                                                           {'codebert': -1, 'PLBART': -1, 'devign': 13, 'regvd': 129, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
290     }                                                                                        {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 143, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
294     assert(reftable_size < INT_MAX / sizeof(uint64_t));                                      {'codebert': -1, 'PLBART': -1, 'devign': 70, 'regvd': 42, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
296     ret = bdrv_pwrite(bs->file, reftable_offset, on_disk_reftable,                           {'codebert': -1, 'PLBART': -1, 'devign': 34, 'regvd': 20, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
298                       reftable_size * sizeof(uint64_t));                                     {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 36, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
300     if (ret < 0) {                                                                           {'codebert': -1, 'PLBART': -1, 'devign': 1, 'regvd': 114, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
302         fprintf(stderr, "ERROR writing reftable: %s\n", strerror(-ret));                     {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 29, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
304         goto fail;                                                                           {'codebert': -1, 'PLBART': -1, 'devign': 12, 'regvd': 128, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
306     }                                                                                        {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 142, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
310     /* Enter new reftable into the image header */                                           {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 104, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
312     reftable_offset_and_clusters.reftable_offset = cpu_to_be64(reftable_offset);             {'codebert': -1, 'PLBART': -1, 'devign': 56, 'regvd': 9, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
314     reftable_offset_and_clusters.reftable_clusters =                                         {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 52, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
316         cpu_to_be32(size_to_clusters(s, reftable_size * sizeof(uint64_t)));                  {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
318     ret = bdrv_pwrite_sync(bs->file,                                                         {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 91, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
320                            offsetof(QCowHeader, refcount_table_offset),                      {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 60, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
322                            &reftable_offset_and_clusters,                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 49, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
324                            sizeof(reftable_offset_and_clusters));                            {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 14, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
326     if (ret < 0) {                                                                           {'codebert': -1, 'PLBART': -1, 'devign': 0, 'regvd': 113, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
328         fprintf(stderr, "ERROR setting reftable: %s\n", strerror(-ret));                     {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 28, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
330         goto fail;                                                                           {'codebert': -1, 'PLBART': -1, 'devign': 11, 'regvd': 127, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
332     }                                                                                        {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 141, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
336     for (refblock_index = 0; refblock_index < reftable_size; refblock_index++) {             {'codebert': -1, 'PLBART': -1, 'devign': 5, 'regvd': 12, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
338         be64_to_cpus(&on_disk_reftable[refblock_index]);                                     {'codebert': -1, 'PLBART': -1, 'devign': 62, 'regvd': 25, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
340     }                                                                                        {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 140, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
342     s->refcount_table = on_disk_reftable;                                                    {'codebert': -1, 'PLBART': -1, 'devign': 59, 'regvd': 65, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
344     s->refcount_table_offset = reftable_offset;                                              {'codebert': -1, 'PLBART': -1, 'devign': 51, 'regvd': 64, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
346     s->refcount_table_size = reftable_size;                                                  {'codebert': -1, 'PLBART': -1, 'devign': 60, 'regvd': 74, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
348     update_max_refcount_table_index(s);                                                      {'codebert': -1, 'PLBART': -1, 'devign': 71, 'regvd': 77, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
352     return 0;                                                                                {'codebert': -1, 'PLBART': -1, 'devign': 28, 'regvd': 122, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
356 fail:                                                                                        {'codebert': -1, 'PLBART': -1, 'devign': 26, 'regvd': 138, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
358     g_free(on_disk_reftable);                                                                {'codebert': -1, 'PLBART': -1, 'devign': 40, 'regvd': 69, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
360     return ret;                                                                              {'codebert': -1, 'PLBART': -1, 'devign': 31, 'regvd': 124, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
362 }                                                                                            {'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 139, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
-----------------------
Highlighted lines: 
4                                       void **refcount_table,
18     uint64_t *on_disk_reftable = NULL;
--------------------------------------------------------------------------------------------------------------
Example ids:  14612 project:  FFmpeg commit id:  c58d45e00489e07fd4606b64ad4095660494185b Number of lines:  127 tground truth:  1
Original lines: 
Predicted Correctly by :  ['linevul', 'codebert', 'devign', 'regvd', 'vulberta_cnn', 'vulberta_mlp']
0 static int film_read_header(AVFormatContext *s,                                                {'linevul': 16, 'codebert': 0, 'devign': 63, 'regvd': 47, 'vulberta_cnn': 95, 'vulberta_mlp': 28}
